Migration Rate,Relative Center Density,1L1T - Persistance
0.02,1,0.693216
0.02,1.25,0.908884
0.02,1.5,0.979678
0.02,1.75,0.9901358
0.02,2,0.993631
0.02,2.25,0.9957333
0.02,2.5,0.996876
0.02,2.75,0.9972936
0.02,3,0.9976319
0.02,3.25,0.9982861
0.02,3.5,0.9985791
0.02,3.75,0.9988362
0.02,4,0.9985865
0.02,4.25,0.9988476
0.02,4.5,0.9991356
0.02,4.75,0.9991068
0.02,5,0.9990443
0.02,5.25,0.9993609
0.02,5.5,0.9994456
0.02,5.75,0.9994986
0.02,6,0.9994712
0.025,1,0.5813011
0.025,1.25,0.8695398
0.025,1.5,0.9727038
0.025,1.75,0.9857082
0.025,2,0.9906786
0.025,2.25,0.9930334
0.025,2.5,0.9947933
0.025,2.75,0.9966553
0.025,3,0.9969532
0.025,3.25,0.9971324
0.025,3.5,0.9973028
0.025,3.75,0.9977905
0.025,4,0.9981384
0.025,4.25,0.9985158
0.025,4.5,0.9984793
0.025,4.75,0.9988093
0.025,5,0.9989837
0.025,5.25,0.9989308
0.025,5.5,0.998972
0.025,5.75,0.9990328
0.025,6,0.9993625
0.03,1,0.4127204
0.03,1.25,0.7863677
0.03,1.5,0.9568833
0.03,1.75,0.9815112
0.03,2,0.9875671
0.03,2.25,0.9906771
0.03,2.5,0.9936873
0.03,2.75,0.994442
0.03,3,0.9955455
0.03,3.25,0.9962279
0.03,3.5,0.997149
0.03,3.75,0.9972789
0.03,4,0.997377
0.03,4.25,0.9980945
0.03,4.5,0.9985577
0.03,4.75,0.9983332
0.03,5,0.9984995
0.03,5.25,0.9984787
0.03,5.5,0.9988806
0.03,5.75,0.9987715
0.03,6,0.9988331
0.035,1,0.2456791
0.035,1.25,0.5467761
0.035,1.5,0.9487458
0.035,1.75,0.9742128
0.035,2,0.984561
0.035,2.25,0.9881276
0.035,2.5,0.9920732
0.035,2.75,0.9928348
0.035,3,0.994467
0.035,3.25,0.995525
0.035,3.5,0.9961224
0.035,3.75,0.9965843
0.035,4,0.99707
0.035,4.25,0.9973369
0.035,4.5,0.9977802
0.035,4.75,0.997502
0.035,5,0.9980495
0.035,5.25,0.9982639
0.035,5.5,0.9986135
0.035,5.75,0.9987323
0.035,6,0.9987815
0.04,1,0.016124833
0.04,1.25,0.3190687
0.04,1.5,0.9079214
0.04,1.75,0.9673013
0.04,2,0.9811674
0.04,2.25,0.9868041
0.04,2.5,0.9893013
0.04,2.75,0.9911888
0.04,3,0.992332
0.04,3.25,0.9941284
0.04,3.5,0.9947641
0.04,3.75,0.9951585
0.04,4,0.9965106
0.04,4.25,0.9969605
0.04,4.5,0.9970003
0.04,4.75,0.9976924
0.04,5,0.9979893
0.04,5.25,0.997849
0.04,5.5,0.998178
0.04,5.75,0.9981881
0.04,6,0.9980689
0.045,1,2.24E-05
0.045,1.25,0.074658879
0.045,1.5,0.8320025
0.045,1.75,0.9588714
0.045,2,0.9736799
0.045,2.25,0.9824162
0.045,2.5,0.9873812
0.045,2.75,0.9898982
0.045,3,0.9914892
0.045,3.25,0.993131
0.045,3.5,0.9938876
0.045,3.75,0.994879
0.045,4,0.9958148
0.045,4.25,0.9960814
0.045,4.5,0.9965719
0.045,4.75,0.9968788
0.045,5,0.9970994
0.045,5.25,0.997532
0.045,5.5,0.997975
0.045,5.75,0.9978796
0.045,6,0.9983488
0.05,1,0
0.05,1.25,0.001282997
0.05,1.5,0.6971434
0.05,1.75,0.9484971
0.05,2,0.9674925
0.05,2.25,0.9794301
0.05,2.5,0.9843249
0.05,2.75,0.9870052
0.05,3,0.9892723
0.05,3.25,0.9918904
0.05,3.5,0.9928304
0.05,3.75,0.9942543
0.05,4,0.9953653
0.05,4.25,0.9956558
0.05,4.5,0.9963963
0.05,4.75,0.9965955
0.05,5,0.9969394
0.05,5.25,0.9974043
0.05,5.5,0.997774
0.05,5.75,0.9981133
0.05,6,0.9983074
0.055,1,0
0.055,1.25,0
0.055,1.5,0.148455078
0.055,1.75,0.9328069
0.055,2,0.9649486
0.055,2.25,0.9750922
0.055,2.5,0.9817706
0.055,2.75,0.9856986
0.055,3,0.9893567
0.055,3.25,0.9909855
0.055,3.5,0.9926704
0.055,3.75,0.9939721
0.055,4,0.9946797
0.055,4.25,0.9956494
0.055,4.5,0.9966386
0.055,4.75,0.9971182
0.055,5,0.9975901
0.055,5.25,0.998465
0.055,5.5,0.9984713
0.055,5.75,0.998363
0.055,6,0.9989808
0.06,1,0
0.06,1.25,0
0.06,1.5,0.003052418
0.06,1.75,0.8898478
0.06,2,0.9549615
0.06,2.25,0.970847
0.06,2.5,0.9798321
0.06,2.75,0.9829904
0.06,3,0.9874214
0.06,3.25,0.9911807
0.06,3.5,0.9931742
0.06,3.75,0.994504
0.06,4,0.9959078
0.06,4.25,0.9970038
0.06,4.5,0.9978771
0.06,4.75,0.9984415
0.06,5,0.9987057
0.06,5.25,0.9989689
0.06,5.5,0.9993161
0.06,5.75,0.9993157
0.06,6,0.9994321
0.065,1,0
0.065,1.25,0
0.065,1.5,0
0.065,1.75,0.5760702
0.065,2,0.9487409
0.065,2.25,0.9676134
0.065,2.5,0.9785817
0.065,2.75,0.9838425
0.065,3,0.9888515
0.065,3.25,0.9923113
0.065,3.5,0.9954687
0.065,3.75,0.9967114
0.065,4,0.9978493
0.065,4.25,0.9982825
0.065,4.5,0.9987602
0.065,4.75,0.9993485
0.065,5,0.9995586
0.065,5.25,0.9996091
0.065,5.5,0.9996439
0.065,5.75,0.9996426
0.065,6,0.9997703
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,0.118493125
0.07,2,0.9368876
0.07,2.25,0.9625612
0.07,2.5,0.9769998
0.07,2.75,0.9870094
0.07,3,0.9915894
0.07,3.25,0.9955701
0.07,3.5,0.9974757
0.07,3.75,0.9980167
0.07,4,0.9989462
0.07,4.25,0.9992548
0.07,4.5,0.9995628
0.07,4.75,0.9997216
0.07,5,0.9997941
0.07,5.25,0.9999382
0.07,5.5,0.9998977
0.07,5.75,0.9999535
0.07,6,0.9999852
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,0.9098305
0.075,2.25,0.9621683
0.075,2.5,0.978268
0.075,2.75,0.9889553
0.075,3,0.9952328
0.075,3.25,0.9979408
0.075,3.5,0.9987313
0.075,3.75,0.9994721
0.075,4,0.9997364
0.075,4.25,0.9999168
0.075,4.5,0.9999407
0.075,4.75,0.9999937
0.075,5,0.999994
0.075,5.25,1
0.075,5.5,0.9999946
0.075,5.75,1
0.075,6,1
0.08,1,0
0.08,1.25,0
0.08,1.5,0
0.08,1.75,0
0.08,2,0.416858492
0.08,2.25,0.9564108
0.08,2.5,0.9826051
0.08,2.75,0.9928024
0.08,3,0.9978541
0.08,3.25,0.999202
0.08,3.5,0.9998002
0.08,3.75,0.9999766
0.08,4,0.9999778
0.08,4.25,1
0.08,4.5,1
0.08,4.75,1
0.08,5,1
0.08,5.25,1
0.08,5.5,1
0.08,5.75,1
0.08,6,1
0.085,1,0
0.085,1.25,0
0.085,1.5,0
0.085,1.75,0
0.085,2,0
0.085,2.25,0.9478567
0.085,2.5,0.9845465
0.085,2.75,0.9964122
0.085,3,0.9988355
0.085,3.25,0.9998563
0.085,3.5,0.9999664
0.085,3.75,1
0.085,4,1
0.085,4.25,1
0.085,4.5,1
0.085,4.75,1
0.085,5,1
0.085,5.25,1
0.085,5.5,1
0.085,5.75,1
0.085,6,1
0.09,1,0
0.09,1.25,0
0.09,1.5,0
0.09,1.75,0
0.09,2,0
0.09,2.25,0.84942555
0.09,2.5,0.9904925
0.09,2.75,0.9987475
0.09,3,0.9999128
0.09,3.25,1
0.09,3.5,1
0.09,3.75,1
0.09,4,1
0.09,4.25,1
0.09,4.5,1
0.09,4.75,1
0.09,5,1
0.09,5.25,1
0.09,5.5,1
0.09,5.75,1
0.09,6,1
0.095,1,0
0.095,1.25,0
0.095,1.5,0
0.095,1.75,0
0.095,2,0
0.095,2.25,0.47731935
0.095,2.5,0.9912764
0.095,2.75,0.9996067
0.095,3,1
0.095,3.25,1
0.095,3.5,1
0.095,3.75,1
0.095,4,1
0.095,4.25,1
0.095,4.5,1
0.095,4.75,1
0.095,5,1
0.095,5.25,1
0.095,5.5,1
0.095,5.75,1
0.095,6,1
0.1,1,0
0.1,1.25,0
0.1,1.5,0
0.1,1.75,0
0.1,2,0
0.1,2.25,0
0.1,2.5,0.9882623
0.1,2.75,0.9999673
0.1,3,1
0.1,3.25,1
0.1,3.5,1
0.1,3.75,1
0.1,4,1
0.1,4.25,1
0.1,4.5,1
0.1,4.75,1
0.1,5,1
0.1,5.25,1
0.1,5.5,1
0.1,5.75,1
0.1,6,1
