Migration Rate,Relative Center Density,Normal Allele - Persistance
0.02,1,0.4948298
0.02,1.25,0.5450204
0.02,1.5,0.5924268
0.02,1.75,0.6180705
0.02,2,0.6358485
0.02,2.25,0.6523481
0.02,2.5,0.6874397
0.02,2.75,0.6712731
0.02,3,0.6963912
0.02,3.25,0.699831
0.02,3.5,0.6988422
0.02,3.75,0.7134315
0.02,4,0.7221925
0.02,4.25,0.72557
0.02,4.5,0.724647
0.02,4.75,0.7324927
0.02,5,0.7296263
0.02,5.25,0.7442013
0.02,5.5,0.7357957
0.02,5.75,0.7398024
0.02,6,0.7414202
0.025,1,0.4370278
0.025,1.25,0.4871424
0.025,1.5,0.5561759
0.025,1.75,0.5806923
0.025,2,0.6010549
0.025,2.25,0.6290155
0.025,2.5,0.6295122
0.025,2.75,0.667714
0.025,3,0.6752588
0.025,3.25,0.6732172
0.025,3.5,0.6916136
0.025,3.75,0.6881148
0.025,4,0.7065719
0.025,4.25,0.7140877
0.025,4.5,0.714021
0.025,4.75,0.7261118
0.025,5,0.7242044
0.025,5.25,0.7287629
0.025,5.5,0.7296594
0.025,5.75,0.7387589
0.025,6,0.7349057
0.03,1,0.3918732
0.03,1.25,0.4423124
0.03,1.5,0.4972712
0.03,1.75,0.5286418
0.03,2,0.5681832
0.03,2.25,0.610229
0.03,2.5,0.6168875
0.03,2.75,0.6371648
0.03,3,0.6519686
0.03,3.25,0.6584369
0.03,3.5,0.6679217
0.03,3.75,0.6858051
0.03,4,0.6902227
0.03,4.25,0.6957867
0.03,4.5,0.7043926
0.03,4.75,0.7130686
0.03,5,0.7160368
0.03,5.25,0.7213061
0.03,5.5,0.7225356
0.03,5.75,0.7205169
0.03,6,0.7307101
0.035,1,0.3278899
0.035,1.25,0.385323
0.035,1.5,0.4429618
0.035,1.75,0.5013996
0.035,2,0.522673
0.035,2.25,0.5604054
0.035,2.5,0.5864503
0.035,2.75,0.6090038
0.035,3,0.6344284
0.035,3.25,0.6447681
0.035,3.5,0.6621668
0.035,3.75,0.6680682
0.035,4,0.6695215
0.035,4.25,0.6876185
0.035,4.5,0.6904303
0.035,4.75,0.6947665
0.035,5,0.7015799
0.035,5.25,0.7078744
0.035,5.5,0.7180425
0.035,5.75,0.71478
0.035,6,0.7315914
0.04,1,0.2874113
0.04,1.25,0.3622591
0.04,1.5,0.4028521
0.04,1.75,0.4616804
0.04,2,0.5080431
0.04,2.25,0.5437538
0.04,2.5,0.5654839
0.04,2.75,0.596699
0.04,3,0.6216433
0.04,3.25,0.6275982
0.04,3.5,0.629999
0.04,3.75,0.6529475
0.04,4,0.6613216
0.04,4.25,0.6788263
0.04,4.5,0.6766042
0.04,4.75,0.6821384
0.04,5,0.6900361
0.04,5.25,0.7083073
0.04,5.5,0.7158468
0.04,5.75,0.709881
0.04,6,0.7160525
0.045,1,0.2498583
0.045,1.25,0.3266836
0.045,1.5,0.3728231
0.045,1.75,0.4296726
0.045,2,0.4711844
0.045,2.25,0.5072018
0.045,2.5,0.5498361
0.045,2.75,0.5664475
0.045,3,0.5841383
0.045,3.25,0.6052617
0.045,3.5,0.6268153
0.045,3.75,0.6458544
0.045,4,0.6300516
0.045,4.25,0.6573466
0.045,4.5,0.6636429
0.045,4.75,0.6685301
0.045,5,0.6825989
0.045,5.25,0.6955614
0.045,5.5,0.6936955
0.045,5.75,0.7033308
0.045,6,0.7063676
0.05,1,0.2230625
0.05,1.25,0.2865275
0.05,1.5,0.3550435
0.05,1.75,0.4021433
0.05,2,0.4468876
0.05,2.25,0.4917467
0.05,2.5,0.5071868
0.05,2.75,0.5394021
0.05,3,0.5689257
0.05,3.25,0.5967902
0.05,3.5,0.6036447
0.05,3.75,0.6276361
0.05,4,0.6343582
0.05,4.25,0.6532144
0.05,4.5,0.6643547
0.05,4.75,0.6678005
0.05,5,0.6802944
0.05,5.25,0.6885895
0.05,5.5,0.6959521
0.05,5.75,0.6890673
0.05,6,0.7055524
0.055,1,0.1980976
0.055,1.25,0.2834135
0.055,1.5,0.3329638
0.055,1.75,0.3753557
0.055,2,0.4352428
0.055,2.25,0.4601616
0.055,2.5,0.4932173
0.055,2.75,0.5347942
0.055,3,0.5508825
0.055,3.25,0.5640702
0.055,3.5,0.5874833
0.055,3.75,0.6113297
0.055,4,0.6206396
0.055,4.25,0.6369457
0.055,4.5,0.6520097
0.055,4.75,0.6561404
0.055,5,0.6652642
0.055,5.25,0.6943297
0.055,5.5,0.6809005
0.055,5.75,0.6949
0.055,6,0.6938598
0.06,1,0.1966962
0.06,1.25,0.2532768
0.06,1.5,0.3044085
0.06,1.75,0.3558853
0.06,2,0.4236322
0.06,2.25,0.4439916
0.06,2.5,0.4759568
0.06,2.75,0.5185464
0.06,3,0.5438428
0.06,3.25,0.5704734
0.06,3.5,0.5913296
0.06,3.75,0.6018343
0.06,4,0.6025153
0.06,4.25,0.6265992
0.06,4.5,0.6365797
0.06,4.75,0.6578362
0.06,5,0.6544526
0.06,5.25,0.6693223
0.06,5.5,0.6789869
0.06,5.75,0.6802151
0.06,6,0.6931457
0.065,1,0.1800482
0.065,1.25,0.2295618
0.065,1.5,0.2904517
0.065,1.75,0.348575
0.065,2,0.38611
0.065,2.25,0.444278
0.065,2.5,0.4675153
0.065,2.75,0.5028412
0.065,3,0.5369415
0.065,3.25,0.5633936
0.065,3.5,0.5748316
0.065,3.75,0.5988527
0.065,4,0.6141098
0.065,4.25,0.6204109
0.065,4.5,0.6372054
0.065,4.75,0.6501176
0.065,5,0.6631127
0.065,5.25,0.6581298
0.065,5.5,0.6678144
0.065,5.75,0.6784743
0.065,6,0.6925073
0.07,1,0.1675688
0.07,1.25,0.2419395
0.07,1.5,0.2894867
0.07,1.75,0.343583
0.07,2,0.386651
0.07,2.25,0.4215452
0.07,2.5,0.4609976
0.07,2.75,0.5012109
0.07,3,0.5263851
0.07,3.25,0.5515722
0.07,3.5,0.5716264
0.07,3.75,0.5878535
0.07,4,0.5941562
0.07,4.25,0.6120615
0.07,4.5,0.6270065
0.07,4.75,0.6421683
0.07,5,0.6524571
0.07,5.25,0.6537436
0.07,5.5,0.6708802
0.07,5.75,0.674512
0.07,6,0.6926451
0.075,1,0.1705955
0.075,1.25,0.2183822
0.075,1.5,0.279703
0.075,1.75,0.3300081
0.075,2,0.370532
0.075,2.25,0.4230773
0.075,2.5,0.4469085
0.075,2.75,0.4830191
0.075,3,0.5114631
0.075,3.25,0.5467513
0.075,3.5,0.5579766
0.075,3.75,0.5716193
0.075,4,0.6084326
0.075,4.25,0.6049791
0.075,4.5,0.6260439
0.075,4.75,0.6458789
0.075,5,0.645899
0.075,5.25,0.6597449
0.075,5.5,0.6673845
0.075,5.75,0.6735053
0.075,6,0.6832986
0.08,1,0.1606063
0.08,1.25,0.2263054
0.08,1.5,0.2681327
0.08,1.75,0.3241153
0.08,2,0.3593215
0.08,2.25,0.4143627
0.08,2.5,0.4467767
0.08,2.75,0.4678408
0.08,3,0.5068876
0.08,3.25,0.5311452
0.08,3.5,0.5611058
0.08,3.75,0.5667229
0.08,4,0.6016721
0.08,4.25,0.6106535
0.08,4.5,0.6318034
0.08,4.75,0.6287709
0.08,5,0.6476956
0.08,5.25,0.6622017
0.08,5.5,0.6738414
0.08,5.75,0.6720586
0.08,6,0.6835908
0.085,1,0.1644426
0.085,1.25,0.2085904
0.085,1.5,0.2676841
0.085,1.75,0.3170682
0.085,2,0.3598137
0.085,2.25,0.406407
0.085,2.5,0.4386131
0.085,2.75,0.4808742
0.085,3,0.50981
0.085,3.25,0.5352064
0.085,3.5,0.550515
0.085,3.75,0.578443
0.085,4,0.5817839
0.085,4.25,0.6052445
0.085,4.5,0.6130226
0.085,4.75,0.6292436
0.085,5,0.6537559
0.085,5.25,0.6498898
0.085,5.5,0.6693331
0.085,5.75,0.6797521
0.085,6,0.6860965
0.09,1,0.1592599
0.09,1.25,0.212738
0.09,1.5,0.2578832
0.09,1.75,0.3092907
0.09,2,0.3623795
0.09,2.25,0.4029747
0.09,2.5,0.441701
0.09,2.75,0.4701549
0.09,3,0.4956965
0.09,3.25,0.5277011
0.09,3.5,0.5466673
0.09,3.75,0.5546707
0.09,4,0.5817866
0.09,4.25,0.5997329
0.09,4.5,0.6195616
0.09,4.75,0.6302232
0.09,5,0.6348545
0.09,5.25,0.6428515
0.09,5.5,0.6655253
0.09,5.75,0.6743218
0.09,6,0.6782956
0.095,1,0.145672
0.095,1.25,0.2113148
0.095,1.5,0.275128
0.095,1.75,0.3004913
0.095,2,0.3640997
0.095,2.25,0.3887579
0.095,2.5,0.4287535
0.095,2.75,0.4680839
0.095,3,0.4992598
0.095,3.25,0.5221206
0.095,3.5,0.5382256
0.095,3.75,0.5643697
0.095,4,0.5834918
0.095,4.25,0.5970267
0.095,4.5,0.6175596
0.095,4.75,0.6282237
0.095,5,0.6424287
0.095,5.25,0.646206
0.095,5.5,0.6647497
0.095,5.75,0.676052
0.095,6,0.6770473
0.1,1,0.158502
0.1,1.25,0.2130659
0.1,1.5,0.257926
0.1,1.75,0.304902
0.1,2,0.3535329
0.1,2.25,0.3897911
0.1,2.5,0.4287529
0.1,2.75,0.466114
0.1,3,0.4881635
0.1,3.25,0.5134434
0.1,3.5,0.5502587
0.1,3.75,0.5692157
0.1,4,0.5796211
0.1,4.25,0.6002723
0.1,4.5,0.6248921
0.1,4.75,0.6346408
0.1,5,0.6418678
0.1,5.25,0.6543052
0.1,5.5,0.6615527
0.1,5.75,0.6703974
0.1,6,0.6751093
