Fitness,Migration Rate,RCT - Invasion
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,0
0.68,0.02,0
0.7,0.02,0
0.72,0.02,0
0.74,0.02,0
0.76,0.02,0
0.78,0.02,0
0.8,0.02,0
0.82,0.02,0
0.84,0.02,0
0.86,0.02,0
0.88,0.02,0
0.9,0.02,0
0.92,0.02,0.000108218
0.94,0.02,0.000373925
0.96,0.02,0.000550851
0.98,0.02,0.003021834
1,0.02,0.004839898
0.6,0.025,0
0.62,0.025,0
0.64,0.025,0
0.66,0.025,0
0.68,0.025,0
0.7,0.025,0
0.72,0.025,0
0.74,0.025,0
0.76,0.025,0
0.78,0.025,0
0.8,0.025,0
0.82,0.025,0
0.84,0.025,0
0.86,0.025,8.33E-06
0.88,0.025,1.64E-05
0.9,0.025,3.29E-05
0.92,0.025,0.000107888
0.94,0.025,0.0003402
0.96,0.025,0.000512792
0.98,0.025,0.001802827
1,0.025,0.006939746
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0
0.72,0.03,0
0.74,0.03,0
0.76,0.03,0
0.78,0.03,0
0.8,0.03,0
0.82,0.03,0
0.84,0.03,0
0.86,0.03,8.28E-06
0.88,0.03,3.31E-05
0.9,0.03,0
0.92,0.03,0.000116674
0.94,0.03,0.000280891
0.96,0.03,0.000904255
0.98,0.03,0.002443914
1,0.03,0.008441976
0.6,0.035,0
0.62,0.035,0
0.64,0.035,0
0.66,0.035,0
0.68,0.035,0
0.7,0.035,0
0.72,0.035,0
0.74,0.035,0
0.76,0.035,0
0.78,0.035,0
0.8,0.035,0
0.82,0.035,1.65E-05
0.84,0.035,4.98E-05
0.86,0.035,2.49E-05
0.88,0.035,2.49E-05
0.9,0.035,7.41E-05
0.92,0.035,8.28E-05
0.94,0.035,0.000348244
0.96,0.035,0.00085564
0.98,0.035,0.002499408
1,0.035,0.009586817
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0
0.76,0.04,0
0.78,0.04,0
0.8,0.04,8.26E-06
0.82,0.04,0
0.84,0.04,4.10E-05
0.86,0.04,7.41E-05
0.88,0.04,4.12E-05
0.9,0.04,5.77E-05
0.92,0.04,9.86E-05
0.94,0.04,0.000525813
0.96,0.04,0.001461101
0.98,0.04,0.002942804
1,0.04,0.006748078
0.6,0.045,0
0.62,0.045,0
0.64,0.045,0
0.66,0.045,0
0.68,0.045,0
0.7,0.045,0
0.72,0.045,0
0.74,0.045,0
0.76,0.045,0
0.78,0.045,0
0.8,0.045,0
0.82,0.045,1.65E-05
0.84,0.045,3.30E-05
0.86,0.045,0.000148332
0.88,0.045,0.000124044
0.9,0.045,0.000223082
0.92,0.045,0.000198396
0.94,0.045,0.000706785
0.96,0.045,0.001355879
0.98,0.045,0.004560788
1,0.045,0.007917596
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,0
0.74,0.05,0
0.76,0.05,0
0.78,0.05,2.42E-05
0.8,0.05,1.63E-05
0.82,0.05,6.60E-05
0.84,0.05,0.000123622
0.86,0.05,0.000189363
0.88,0.05,0.000181722
0.9,0.05,0.000439088
0.92,0.05,0.000544019
0.94,0.05,0.000621762
0.96,0.05,0.002086548
0.98,0.05,0.004415778
1,0.05,0.010351076
0.6,0.055,0
0.62,0.055,0
0.64,0.055,0
0.66,0.055,0
0.68,0.055,0
0.7,0.055,0
0.72,0.055,0
0.74,0.055,8.15E-06
0.76,0.055,0
0.78,0.055,8.26E-06
0.8,0.055,7.34E-05
0.82,0.055,0.000114799
0.84,0.055,0.000140041
0.86,0.055,0.000205752
0.88,0.055,0.000469639
0.9,0.055,0.000603969
0.92,0.055,0.001055224
0.94,0.055,0.001231164
0.96,0.055,0.002199965
0.98,0.055,0.00459016
1,0.055,0.007094169
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0
0.74,0.06,0
0.76,0.06,1.61E-05
0.78,0.06,6.51E-05
0.8,0.06,8.16E-05
0.82,0.06,0.000171123
0.84,0.06,0.000361775
0.86,0.06,0.000500667
0.88,0.06,0.00071727
0.9,0.06,0.001088552
0.92,0.06,0.001042507
0.94,0.06,0.00178033
0.96,0.06,0.00308427
0.98,0.06,0.005302297
1,0.06,0.008886421
0.6,0.065,0
0.62,0.065,0
0.64,0.065,0
0.66,0.065,0
0.68,0.065,0
0.7,0.065,0
0.72,0.065,0
0.74,0.065,0
0.76,0.065,2.42E-05
0.78,0.065,5.71E-05
0.8,0.065,0.000147865
0.82,0.065,0.000395996
0.84,0.065,0.000320682
0.86,0.065,0.000761312
0.88,0.065,0.001114514
0.9,0.065,0.0015508
0.92,0.065,0.00165991
0.94,0.065,0.002471565
0.96,0.065,0.003893522
0.98,0.065,0.005179514
1,0.065,0.011780602
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,0
0.76,0.07,7.24E-05
0.78,0.07,0.000253568
0.8,0.07,0.000425298
0.82,0.07,0.000632687
0.84,0.07,0.000968243
0.86,0.07,0.000966555
0.88,0.07,0.00146454
0.9,0.07,0.00144004
0.92,0.07,0.002346136
0.94,0.07,0.002765872
0.96,0.07,0.004427622
0.98,0.07,0.006864164
1,0.07,0.01009995
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,0
0.72,0.075,0
0.74,0.075,0
0.76,0.075,0.000104963
0.78,0.075,0.000277462
0.8,0.075,0.000657511
0.82,0.075,0.000888363
0.84,0.075,0.001078143
0.86,0.075,0.001368385
0.88,0.075,0.001470954
0.9,0.075,0.002426649
0.92,0.075,0.003134866
0.94,0.075,0.005054478
0.96,0.075,0.005662591
0.98,0.075,0.007526097
1,0.075,0.012171691
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,1.59E-05
0.76,0.08,0.00020245
0.78,0.08,0.000489625
0.8,0.08,0.000940183
0.82,0.08,0.001123927
0.84,0.08,0.001181962
0.86,0.08,0.001829951
0.88,0.08,0.00223789
0.9,0.08,0.002697828
0.92,0.08,0.00437657
0.94,0.08,0.005209303
0.96,0.08,0.007503318
0.98,0.08,0.008831289
1,0.08,0.012786126
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,0
0.74,0.085,1.62E-05
0.76,0.085,0.000366418
0.78,0.085,0.000790651
0.8,0.085,0.001214901
0.82,0.085,0.001598748
0.84,0.085,0.001794401
0.86,0.085,0.002269664
0.88,0.085,0.002887339
0.9,0.085,0.00389775
0.92,0.085,0.004853351
0.94,0.085,0.006043744
0.96,0.085,0.006940389
0.98,0.085,0.008968106
1,0.085,0.01323838
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,4.05E-05
0.76,0.09,0.000516896
0.78,0.09,0.001002499
0.8,0.09,0.001419988
0.82,0.09,0.002072307
0.84,0.09,0.002288462
0.86,0.09,0.003080941
0.88,0.09,0.003456167
0.9,0.09,0.004410146
0.92,0.09,0.005302509
0.94,0.09,0.005714592
0.96,0.09,0.009096539
0.98,0.09,0.01037487
1,0.09,0.012739231
0.6,0.095,0
0.62,0.095,0
0.64,0.095,0
0.66,0.095,0
0.68,0.095,0
0.7,0.095,0
0.72,0.095,0
0.74,0.095,0.000248805
0.76,0.095,0.000894273
0.78,0.095,0.001442124
0.8,0.095,0.001667313
0.82,0.095,0.002396162
0.84,0.095,0.002935437
0.86,0.095,0.003636969
0.88,0.095,0.004487913
0.9,0.095,0.004900551
0.92,0.095,0.005835081
0.94,0.095,0.008018171
0.96,0.095,0.009158509
0.98,0.095,0.01191834
1,0.095,0.014661244
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,8.17E-06
0.74,0.1,0.000367837
0.76,0.1,0.001164496
0.78,0.1,0.00177069
0.8,0.1,0.002492547
0.82,0.1,0.002645957
0.84,0.1,0.003389243
0.86,0.1,0.004011162
0.88,0.1,0.005251501
0.9,0.1,0.00607739
0.92,0.1,0.006951288
0.94,0.1,0.008727555
0.96,0.1,0.010295154
0.98,0.1,0.012095137
1,0.1,0.0146868
