Fitness,Corridor Width,RCT - Persistance
0.6,0.01,0.9938892
0.62,0.01,0.9950188
0.64,0.01,0.9970128
0.66,0.01,0.9968272
0.68,0.01,0.9960586
0.7,0.01,0.9968642
0.72,0.01,0.9962491
0.74,0.01,0.9973992
0.76,0.01,0.997704
0.78,0.01,0.9971369
0.8,0.01,0.9980293
0.82,0.01,0.9983308
0.84,0.01,0.9980724
0.86,0.01,0.9985326
0.88,0.01,0.9985647
0.9,0.01,0.9988704
0.92,0.01,0.9992574
0.94,0.01,0.9988779
0.96,0.01,0.9992695
0.98,0.01,0.9990122
1,0.01,0.9994035
0.6,0.02,0.54836259
0.62,0.02,0.9705571
0.64,0.02,0.9743534
0.66,0.02,0.9858313
0.68,0.02,0.9883222
0.7,0.02,0.990724
0.72,0.02,0.9905959
0.74,0.02,0.9895189
0.76,0.02,0.9918149
0.78,0.02,0.992607
0.8,0.02,0.9921893
0.82,0.02,0.995286
0.84,0.02,0.9949688
0.86,0.02,0.9956829
0.88,0.02,0.9963203
0.9,0.02,0.9960985
0.92,0.02,0.9967967
0.94,0.02,0.9977739
0.96,0.02,0.9978668
0.98,0.02,0.9980228
1,0.02,0.9991134
0.6,0.03,0.004638504
0.62,0.03,0.130514406
0.64,0.03,0.62894362
0.66,0.03,0.8513426
0.68,0.03,0.9543207
0.7,0.03,0.977292
0.72,0.03,0.9818622
0.74,0.03,0.9817491
0.76,0.03,0.9853749
0.78,0.03,0.9845914
0.8,0.03,0.9885094
0.82,0.03,0.9879334
0.84,0.03,0.9907405
0.86,0.03,0.9906007
0.88,0.03,0.9913957
0.9,0.03,0.9912944
0.92,0.03,0.9955055
0.94,0.03,0.9950136
0.96,0.03,0.9953239
0.98,0.03,0.9983185
1,0.03,0.9977318
0.6,0.04,0
0.62,0.04,0.005444542
0.64,0.04,0.082019629
0.66,0.04,0.280493089
0.68,0.04,0.7535994
0.7,0.04,0.9527436
0.72,0.04,0.96525
0.74,0.04,0.9708031
0.76,0.04,0.9732511
0.78,0.04,0.9751177
0.8,0.04,0.9796568
0.82,0.04,0.9798654
0.84,0.04,0.9839923
0.86,0.04,0.9836022
0.88,0.04,0.9870302
0.9,0.04,0.9894373
0.92,0.04,0.9901404
0.94,0.04,0.9906117
0.96,0.04,0.9932321
0.98,0.04,0.9961351
1,0.04,0.9973969
0.6,0.05,0
0.62,0.05,0
0.64,0.05,3.43E-05
0.66,0.05,0.047309234
0.68,0.05,0.171430595
0.7,0.05,0.6487559
0.72,0.05,0.8698917
0.74,0.05,0.9442239
0.76,0.05,0.954393
0.78,0.05,0.9619629
0.8,0.05,0.9747647
0.82,0.05,0.9727933
0.84,0.05,0.9737974
0.86,0.05,0.9776402
0.88,0.05,0.9811496
0.9,0.05,0.9848462
0.92,0.05,0.9847255
0.94,0.05,0.9866583
0.96,0.05,0.9917206
0.98,0.05,0.9935081
1,0.05,0.9962861
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0.001818375
0.68,0.06,0.06760173
0.7,0.06,0.30060326
0.72,0.06,0.7248103
0.74,0.06,0.8514447
0.76,0.06,0.9364291
0.78,0.06,0.9460644
0.8,0.06,0.9557198
0.82,0.06,0.9621187
0.84,0.06,0.9690996
0.86,0.06,0.9703593
0.88,0.06,0.9708553
0.9,0.06,0.9780796
0.92,0.06,0.9782869
0.94,0.06,0.9853047
0.96,0.06,0.9869832
0.98,0.06,0.992947
1,0.06,0.9950107
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0.002382584
0.7,0.07,0.102183788
0.72,0.07,0.3461655
0.74,0.07,0.687234
0.76,0.07,0.8612735
0.78,0.07,0.9225227
0.8,0.07,0.9383874
0.82,0.07,0.945563
0.84,0.07,0.9572576
0.86,0.07,0.9622534
0.88,0.07,0.9645875
0.9,0.07,0.9688777
0.92,0.07,0.9725374
0.94,0.07,0.9805985
0.96,0.07,0.9840514
0.98,0.07,0.9899337
1,0.07,0.9935859
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0.003471555
0.7,0.08,0.034719084
0.72,0.08,0.23586823
0.74,0.08,0.5010005
0.76,0.08,0.759878
0.78,0.08,0.888524
0.8,0.08,0.9032484
0.82,0.08,0.9282939
0.84,0.08,0.9372619
0.86,0.08,0.9490493
0.88,0.08,0.951659
0.9,0.08,0.9604426
0.92,0.08,0.9695273
0.94,0.08,0.9772876
0.96,0.08,0.9795041
0.98,0.08,0.9886352
1,0.08,0.9938407
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,8.41E-05
0.7,0.09,0.008637011
0.72,0.09,0.10096139
0.74,0.09,0.4506615
0.76,0.09,0.6302999
0.78,0.09,0.8188026
0.8,0.09,0.8839238
0.82,0.09,0.9058914
0.84,0.09,0.9256605
0.86,0.09,0.9388501
0.88,0.09,0.9467189
0.9,0.09,0.9531472
0.92,0.09,0.9573458
0.94,0.09,0.9691886
0.96,0.09,0.9735345
0.98,0.09,0.9859848
1,0.09,0.9926847
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,5.05E-05
0.7,0.1,0.009113103
0.72,0.1,0.085911029
0.74,0.1,0.3295946
0.76,0.1,0.5221167
0.78,0.1,0.7543115
0.8,0.1,0.8167458
0.82,0.1,0.891575
0.84,0.1,0.9108095
0.86,0.1,0.9239489
0.88,0.1,0.9318815
0.9,0.1,0.9405879
0.92,0.1,0.9534435
0.94,0.1,0.9607118
0.96,0.1,0.9780663
0.98,0.1,0.9836104
1,0.1,0.9921319
0.6,0.11,0
0.62,0.11,0
0.64,0.11,0
0.66,0.11,0
0.68,0.11,0
0.7,0.11,0.002653298
0.72,0.11,0.046376528
0.74,0.11,0.2259273
0.76,0.11,0.4901449
0.78,0.11,0.6537839
0.8,0.11,0.7957097
0.82,0.11,0.8605491
0.84,0.11,0.8865746
0.86,0.11,0.909787
0.88,0.11,0.921761
0.9,0.11,0.9303439
0.92,0.11,0.9425277
0.94,0.11,0.9484017
0.96,0.11,0.9707164
0.98,0.11,0.9817698
1,0.11,0.9918532
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,8.14E-06
0.7,0.12,0.00010686
0.72,0.12,0.037241808
0.74,0.12,0.14507326
0.76,0.12,0.3794679
0.78,0.12,0.5975585
0.8,0.12,0.7410801
0.82,0.12,0.8395513
0.84,0.12,0.8657749
0.86,0.12,0.8934261
0.88,0.12,0.9122432
0.9,0.12,0.9225883
0.92,0.12,0.9390475
0.94,0.12,0.9482587
0.96,0.12,0.9626946
0.98,0.12,0.9765326
1,0.12,0.9872886
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,0
0.7,0.13,0.000437951
0.72,0.13,0.009908774
0.74,0.13,0.12667868
0.76,0.13,0.2951108
0.78,0.13,0.5665412
0.8,0.13,0.688363
0.82,0.13,0.8046708
0.84,0.13,0.8459923
0.86,0.13,0.8708138
0.88,0.13,0.8906081
0.9,0.13,0.9100238
0.92,0.13,0.9232398
0.94,0.13,0.9400972
0.96,0.13,0.962096
0.98,0.13,0.9722315
1,0.13,0.9872434
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,1.62E-05
0.72,0.14,0.004181742
0.74,0.14,0.08196397
0.76,0.14,0.2530643
0.78,0.14,0.4967371
0.8,0.14,0.6153653
0.82,0.14,0.7164923
0.84,0.14,0.8284685
0.86,0.14,0.8515349
0.88,0.14,0.8751922
0.9,0.14,0.8993995
0.92,0.14,0.9167896
0.94,0.14,0.9325757
0.96,0.14,0.9550942
0.98,0.14,0.9769893
1,0.14,0.9870592
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0.005083695
0.74,0.15,0.0649818
0.76,0.15,0.2032444
0.78,0.15,0.3996278
0.8,0.15,0.5800598
0.82,0.15,0.7217277
0.84,0.15,0.7913176
0.86,0.15,0.8415128
0.88,0.15,0.8622836
0.9,0.15,0.8798731
0.92,0.15,0.9034887
0.94,0.15,0.9228041
0.96,0.15,0.9555084
0.98,0.15,0.9763913
1,0.15,0.9845909
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,0
0.72,0.16,0.000407525
0.74,0.16,0.049053384
0.76,0.16,0.1823814
0.78,0.16,0.3565294
0.8,0.16,0.5635859
0.82,0.16,0.6956608
0.84,0.16,0.7743456
0.86,0.16,0.7936018
0.88,0.16,0.8507009
0.9,0.16,0.8713146
0.92,0.16,0.898847
0.94,0.16,0.91461
0.96,0.16,0.9511469
0.98,0.16,0.972362
1,0.16,0.9817366
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,0
0.72,0.17,0.001022225
0.74,0.17,0.037088977
0.76,0.17,0.1573514
0.78,0.17,0.2822435
0.8,0.17,0.5052372
0.82,0.17,0.6499555
0.84,0.17,0.7397095
0.86,0.17,0.785827
0.88,0.17,0.8302559
0.9,0.17,0.8584504
0.92,0.17,0.8842711
0.94,0.17,0.9088439
0.96,0.17,0.9417354
0.98,0.17,0.967465
1,0.17,0.9841268
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,8.60E-05
0.74,0.18,0.020195665
0.76,0.18,0.10366316
0.78,0.18,0.3264106
0.8,0.18,0.4342906
0.82,0.18,0.5958621
0.84,0.18,0.7004853
0.86,0.18,0.7696294
0.88,0.18,0.8118125
0.9,0.18,0.8532989
0.92,0.18,0.8784686
0.94,0.18,0.9010777
0.96,0.18,0.9351979
0.98,0.18,0.9650482
1,0.18,0.9859107
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,0
0.72,0.19,8.59E-05
0.74,0.19,0.007834578
0.76,0.19,0.10794515
0.78,0.19,0.2628825
0.8,0.19,0.4168039
0.82,0.19,0.5724057
0.84,0.19,0.672462
0.86,0.19,0.7413057
0.88,0.19,0.7949247
0.9,0.19,0.8199509
0.92,0.19,0.8641998
0.94,0.19,0.8887558
0.96,0.19,0.9274686
0.98,0.19,0.9574689
1,0.19,0.9771347
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,0
0.74,0.2,0.006864942
0.76,0.2,0.08988722
0.78,0.2,0.2355701
0.8,0.2,0.4173134
0.82,0.2,0.5435285
0.84,0.2,0.6476782
0.86,0.2,0.7254988
0.88,0.2,0.7739653
0.9,0.2,0.8135952
0.92,0.2,0.8560745
0.94,0.2,0.8905144
0.96,0.2,0.9238929
0.98,0.2,0.9600273
1,0.2,0.9862842
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
