Fitness,Corridor Width,2L2T - Invasion
0.6,0.01,3.66E-05
0.62,0.01,2.69E-05
0.64,0.01,8.19E-05
0.66,0.01,8.17E-05
0.68,0.01,0.000117951
0.7,0.01,0.000137122
0.72,0.01,0.000126739
0.74,0.01,0.000226789
0.76,0.01,0.000271166
0.78,0.01,0.000423492
0.8,0.01,0.000515196
0.82,0.01,0.000430166
0.84,0.01,0.001042831
0.86,0.01,0.000367826
0.88,0.01,0.000963187
0.9,0.01,0.000768686
0.92,0.01,0.001025331
0.94,0.01,0.001170073
0.96,0.01,0.001641504
0.98,0.01,0.001788368
1,0.01,0.002137861
0.6,0.02,3.60E-05
0.62,0.02,3.60E-05
0.64,0.02,0.000125861
0.66,0.02,8.02E-05
0.68,0.02,3.61E-05
0.7,0.02,5.40E-05
0.72,0.02,0.000282449
0.74,0.02,0.000215983
0.76,0.02,0.000653188
0.78,0.02,0.001006293
0.8,0.02,0.001073774
0.82,0.02,0.001186157
0.84,0.02,0.001858876
0.86,0.02,0.001525497
0.88,0.02,0.002445223
0.9,0.02,0.002921433
0.92,0.02,0.003901691
0.94,0.02,0.003745132
0.96,0.02,0.003268005
0.98,0.02,0.004876912
1,0.02,0.0056855
0.6,0.03,1.80E-05
0.62,0.03,6.25E-05
0.64,0.03,5.35E-05
0.66,0.03,6.23E-05
0.68,0.03,7.13E-05
0.7,0.03,0.000160684
0.72,0.03,0.000221764
0.74,0.03,0.000428829
0.76,0.03,0.001235959
0.78,0.03,0.001687611
0.8,0.03,0.000925028
0.82,0.03,0.003074103
0.84,0.03,0.003281749
0.86,0.03,0.004114923
0.88,0.03,0.004598079
0.9,0.03,0.005735015
0.92,0.03,0.008129726
0.94,0.03,0.006821187
0.96,0.03,0.00974129
0.98,0.03,0.008536468
1,0.03,0.009984012
0.6,0.04,3.53E-05
0.62,0.04,9.78E-05
0.64,0.04,7.07E-05
0.66,0.04,4.45E-05
0.68,0.04,9.74E-05
0.7,0.04,0.000311996
0.72,0.04,0.000310616
0.74,0.04,0.000713042
0.76,0.04,0.001227653
0.78,0.04,0.00110845
0.8,0.04,0.002903602
0.82,0.04,0.004190085
0.84,0.04,0.004647809
0.86,0.04,0.006783852
0.88,0.04,0.008683592
0.9,0.04,0.010227035
0.92,0.04,0.010586191
0.94,0.04,0.011889757
0.96,0.04,0.012500481
0.98,0.04,0.01588525
1,0.04,0.0148454
0.6,0.05,2.65E-05
0.62,0.05,3.51E-05
0.64,0.05,7.96E-05
0.66,0.05,7.05E-05
0.68,0.05,0.000150252
0.7,0.05,0.000211486
0.72,0.05,0.000465156
0.74,0.05,0.000511949
0.76,0.05,0.001661597
0.78,0.05,0.001681884
0.8,0.05,0.00374767
0.82,0.05,0.006518894
0.84,0.05,0.007774931
0.86,0.05,0.01066239
0.88,0.05,0.011080498
0.9,0.05,0.01472599
0.92,0.05,0.016134768
0.94,0.05,0.01759554
0.96,0.05,0.01977358
0.98,0.05,0.02157855
1,0.05,0.02264548
0.6,0.06,4.33E-05
0.62,0.06,5.26E-05
0.64,0.06,4.36E-05
0.66,0.06,8.77E-05
0.68,0.06,8.72E-05
0.7,0.06,0.000130379
0.72,0.06,0.000244896
0.74,0.06,0.000304517
0.76,0.06,0.001077734
0.78,0.06,0.002046893
0.8,0.06,0.005295824
0.82,0.06,0.008638392
0.84,0.06,0.012302902
0.86,0.06,0.01608668
0.88,0.06,0.01780737
0.9,0.06,0.01964239
0.92,0.06,0.02261144
0.94,0.06,0.0234169
0.96,0.06,0.02665224
0.98,0.06,0.03052018
1,0.06,0.03064754
0.6,0.07,1.73E-05
0.62,0.07,3.45E-05
0.64,0.07,0.000112768
0.66,0.07,6.06E-05
0.68,0.07,0.000182395
0.7,0.07,0.000207399
0.72,0.07,0.000120977
0.74,0.07,0.000441234
0.76,0.07,0.001661655
0.78,0.07,0.002757226
0.8,0.07,0.005037786
0.82,0.07,0.010599475
0.84,0.07,0.01503004
0.86,0.07,0.01667823
0.88,0.07,0.02132907
0.9,0.07,0.02492113
0.92,0.07,0.03040411
0.94,0.07,0.03026281
0.96,0.07,0.03530778
0.98,0.07,0.03928225
1,0.07,0.04249421
0.6,0.08,1.71E-05
0.62,0.08,1.71E-05
0.64,0.08,5.96E-05
0.66,0.08,0.000137392
0.68,0.08,0.000189124
0.7,0.08,8.57E-05
0.72,0.08,0.000231681
0.74,0.08,0.00023952
0.76,0.08,0.001479661
0.78,0.08,0.00383528
0.8,0.08,0.00401259
0.82,0.08,0.013971351
0.84,0.08,0.01938933
0.86,0.08,0.02460829
0.88,0.08,0.02888401
0.9,0.08,0.03556977
0.92,0.08,0.03780997
0.94,0.08,0.04129439
0.96,0.08,0.04348709
0.98,0.08,0.05125172
1,0.08,0.05869269
0.6,0.09,8.31E-06
0.62,0.09,6.71E-05
0.64,0.09,3.40E-05
0.66,0.09,8.52E-05
0.68,0.09,0.000188232
0.7,0.09,0.000102272
0.72,0.09,0.000238399
0.74,0.09,0.00039808
0.76,0.09,0.002094413
0.78,0.09,0.003021211
0.8,0.09,0.006793756
0.82,0.09,0.014286808
0.84,0.09,0.02057922
0.86,0.09,0.02833328
0.88,0.09,0.03709744
0.9,0.09,0.04201325
0.92,0.09,0.04335615
0.94,0.09,0.04980867
0.96,0.09,0.0544639
0.98,0.09,0.071338
1,0.09,0.08314091
0.6,0.1,0
0.62,0.1,2.51E-05
0.64,0.1,5.89E-05
0.66,0.1,6.70E-05
0.68,0.1,8.46E-05
0.7,0.1,0.000119262
0.72,0.1,0.000270263
0.74,0.1,0.000556219
0.76,0.1,0.001301523
0.78,0.1,0.005088347
0.8,0.1,0.009610098
0.82,0.1,0.017652884
0.84,0.1,0.02628058
0.86,0.1,0.03321002
0.88,0.1,0.0398839
0.9,0.1,0.04869123
0.92,0.1,0.05464249
0.94,0.1,0.05952067
0.96,0.1,0.06856317
0.98,0.1,0.08499746
1,0.1,0.12187955
0.6,0.11,0
0.62,0.11,1.67E-05
0.64,0.11,4.17E-05
0.66,0.11,5.86E-05
0.68,0.11,0.000142784
0.7,0.11,0.000200781
0.72,0.11,0.000151321
0.74,0.11,0.000420531
0.76,0.11,0.000908587
0.78,0.11,0.004318427
0.8,0.11,0.00768133
0.82,0.11,0.02009778
0.84,0.11,0.0311079
0.86,0.11,0.04188285
0.88,0.11,0.04652735
0.9,0.11,0.05705859
0.92,0.11,0.06166831
0.94,0.11,0.07223392
0.96,0.11,0.08238308
0.98,0.11,0.10432026
1,0.11,0.1616082
0.6,0.12,0
0.62,0.12,0
0.64,0.12,2.49E-05
0.66,0.12,6.64E-05
0.68,0.12,4.15E-05
0.7,0.12,0.000133001
0.72,0.12,0.000216618
0.74,0.12,0.000474867
0.76,0.12,0.001474919
0.78,0.12,0.004564364
0.8,0.12,0.00949115
0.82,0.12,0.02285595
0.84,0.12,0.03568335
0.86,0.12,0.04482252
0.88,0.12,0.05409532
0.9,0.12,0.06367742
0.92,0.12,0.07170064
0.94,0.12,0.08723591
0.96,0.12,0.10284305
0.98,0.12,0.1430032
1,0.12,0.1958859
0.6,0.13,1.62E-05
0.62,0.13,8.24E-06
0.64,0.13,1.63E-05
0.66,0.13,4.97E-05
0.68,0.13,7.42E-05
0.7,0.13,9.05E-05
0.72,0.13,0.000258071
0.74,0.13,0.000514418
0.76,0.13,0.001312479
0.78,0.13,0.003229171
0.8,0.13,0.011741767
0.82,0.13,0.02566976
0.84,0.13,0.039023397
0.86,0.13,0.0474104
0.88,0.13,0.06243013
0.9,0.13,0.07254109
0.92,0.13,0.08723402
0.94,0.13,0.09880069
0.96,0.13,0.12300272
0.98,0.13,0.1496667
1,0.13,0.2306655
0.6,0.14,0
0.62,0.14,8.06E-06
0.64,0.14,0
0.66,0.14,2.46E-05
0.68,0.14,8.97E-05
0.7,0.14,7.34E-05
0.72,0.14,0.000130902
0.74,0.14,0.000813329
0.76,0.14,0.001957762
0.78,0.14,0.005549915
0.8,0.14,0.016226638
0.82,0.14,0.0304401
0.84,0.14,0.04085129
0.86,0.14,0.05946157
0.88,0.14,0.07133438
0.9,0.14,0.08467567
0.92,0.14,0.10129526
0.94,0.14,0.1249266
0.96,0.14,0.1501152
0.98,0.14,0.1909862
1,0.14,0.2579312
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,2.40E-05
0.68,0.15,3.23E-05
0.7,0.15,0.000105863
0.72,0.15,9.75E-05
0.74,0.15,0.000414223
0.76,0.15,0.0010922
0.78,0.15,0.003519593
0.8,0.15,0.014336501
0.82,0.15,0.03599439
0.84,0.15,0.04842382
0.86,0.15,0.07050284
0.88,0.15,0.08331212
0.9,0.15,0.09752972
0.92,0.15,0.10645034
0.94,0.15,0.1249331
0.96,0.15,0.1599814
0.98,0.15,0.2313607
1,0.15,0.309951
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,8.01E-05
0.7,0.16,0.000104981
0.72,0.16,0.000168865
0.74,0.16,0.000347165
0.76,0.16,0.001564595
0.78,0.16,0.004057053
0.8,0.16,0.01418742
0.82,0.16,0.02823597
0.84,0.16,0.05357519
0.86,0.16,0.07730624
0.88,0.16,0.0899146
0.9,0.16,0.11015413
0.92,0.16,0.1288567
0.94,0.16,0.1563674
0.96,0.16,0.1905695
0.98,0.16,0.2601633
1,0.16,0.331789
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,2.38E-05
0.68,0.17,7.84E-06
0.7,0.17,6.37E-05
0.72,0.17,0.000183557
0.74,0.17,0.000349027
0.76,0.17,0.000932692
0.78,0.17,0.006264386
0.8,0.17,0.017255075
0.82,0.17,0.03178257
0.84,0.17,0.05750366
0.86,0.17,0.08082831
0.88,0.17,0.10410835
0.9,0.17,0.1156715
0.92,0.17,0.141761
0.94,0.17,0.1795443
0.96,0.17,0.2189743
0.98,0.17,0.3038834
1,0.17,0.3773676
0.6,0.18,0
0.62,0.18,0
0.64,0.18,7.80E-06
0.66,0.18,1.58E-05
0.68,0.18,3.15E-05
0.7,0.18,7.10E-05
0.72,0.18,7.16E-05
0.74,0.18,0.000437454
0.76,0.18,0.001329703
0.78,0.18,0.00404011
0.8,0.18,0.01988774
0.82,0.18,0.03618626
0.84,0.18,0.06825591
0.86,0.18,0.09055241
0.88,0.18,0.10878714
0.9,0.18,0.1338417
0.92,0.18,0.1622162
0.94,0.18,0.1851116
0.96,0.18,0.2476473
0.98,0.18,0.3165036
1,0.18,0.3983019
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,1.55E-05
0.68,0.19,3.87E-05
0.7,0.19,8.55E-05
0.72,0.19,9.48E-05
0.74,0.19,0.000439283
0.76,0.19,0.001386101
0.78,0.19,0.004940654
0.8,0.19,0.018398142
0.82,0.19,0.03581227
0.84,0.19,0.06693741
0.86,0.19,0.09427846
0.88,0.19,0.1242038
0.9,0.19,0.1432532
0.92,0.19,0.1717149
0.94,0.19,0.2065683
0.96,0.19,0.2657806
0.98,0.19,0.3421684
1,0.19,0.4582429
0.6,0.2,0
0.62,0.2,0
0.64,0.2,7.64E-06
0.66,0.2,0
0.68,0.2,1.56E-05
0.7,0.2,3.10E-05
0.72,0.2,0.000124279
0.74,0.2,0.000257308
0.76,0.2,0.001010293
0.78,0.2,0.004672346
0.8,0.2,0.02030273
0.82,0.2,0.04787197
0.84,0.2,0.07338838
0.86,0.2,0.10257139
0.88,0.2,0.1334828
0.9,0.2,0.1603354
0.92,0.2,0.1916436
0.94,0.2,0.2269243
0.96,0.2,0.2821815
0.98,0.2,0.3618995
1,0.2,0.4648593
0.6,0,0.00E+00
0.62,0,0.00E+00
0.64,0,0.00E+00
0.66,0,0.00E+00
0.68,0,0.00E+00
0.7,0,0.00E+00
0.72,0,0.00E+00
0.74,0,0.00E+00
0.76,0,0.00E+00
0.78,0,0.00E+00
0.8,0,0.00E+00
0.82,0,0.00E+00
0.84,0,0.00E+00
0.86,0,0.00E+00
0.88,0,0.00E+00
0.9,0,0.00E+00
0.92,0,0.00E+00
0.94,0,0.00E+00
0.96,0,0.00E+00
0.98,0,0.00E+00
1,0,0.00E+00
