Fitness,Corridor Width,Normal Allele - Invasion
0.6,0.01,0
0.62,0.01,0
0.64,0.01,0
0.66,0.01,0
0.68,0.01,0
0.7,0.01,0
0.72,0.01,0
0.74,0.01,0
0.76,0.01,2.68E-05
0.78,0.01,6.24E-05
0.8,0.01,9.00E-06
0.82,0.01,0.000186716
0.84,0.01,6.23E-05
0.86,0.01,0.000383537
0.88,0.01,0.0004284
0.9,0.01,0.000637537
0.92,0.01,0.002452686
0.94,0.01,0.002562608
0.96,0.01,0.004103967
0.98,0.01,0.0043637
1,0.01,0.007121339
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,0
0.68,0.02,0
0.7,0.02,0
0.72,0.02,0
0.74,0.02,0
0.76,0.02,0
0.78,0.02,8.85E-05
0.8,0.02,3.48E-05
0.82,0.02,4.39E-05
0.84,0.02,0.000246795
0.86,0.02,0.00085805
0.88,0.02,0.000567676
0.9,0.02,0.00229932
0.92,0.02,0.002414421
0.94,0.02,0.004273004
0.96,0.02,0.006012682
0.98,0.02,0.01026855
1,0.02,0.017931039
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0
0.72,0.03,0
0.74,0.03,0
0.76,0.03,0
0.78,0.03,0
0.8,0.03,4.38E-05
0.82,0.03,9.58E-05
0.84,0.03,0.000174524
0.86,0.03,0.000558986
0.88,0.03,0.001115601
0.9,0.03,0.00260396
0.92,0.03,0.002828104
0.94,0.03,0.007200863
0.96,0.03,0.009100775
0.98,0.03,0.014551118
1,0.03,0.01789288
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0
0.76,0.04,0
0.78,0.04,2.59E-05
0.8,0.04,0.000104259
0.82,0.04,0.000321507
0.84,0.04,8.70E-05
0.86,0.04,0.000807338
0.88,0.04,0.00215543
0.9,0.04,0.00412255
0.92,0.04,0.006059932
0.94,0.04,0.006276598
0.96,0.04,0.012135901
0.98,0.04,0.021164426
1,0.04,0.03385453
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,0
0.74,0.05,0
0.76,0.05,0
0.78,0.05,3.44E-05
0.8,0.05,6.90E-05
0.82,0.05,0.000344617
0.84,0.05,0.000354988
0.86,0.05,0.001433122
0.88,0.05,0.00163429
0.9,0.05,0.003924799
0.92,0.05,0.004824288
0.94,0.05,0.010173918
0.96,0.05,0.01543636
0.98,0.05,0.02411653
1,0.05,0.0429234
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0
0.74,0.06,0
0.76,0.06,8.56E-06
0.78,0.06,8.56E-06
0.8,0.06,0.000119765
0.82,0.06,0.000229237
0.84,0.06,0.000145415
0.86,0.06,0.000699474
0.88,0.06,0.001541881
0.9,0.06,0.003621429
0.92,0.06,0.005695584
0.94,0.06,0.011185553
0.96,0.06,0.017694638
0.98,0.06,0.03096282
1,0.06,0.04137871
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,0
0.76,0.07,8.40E-06
0.78,0.07,2.57E-05
0.8,0.07,0.000100525
0.82,0.07,0.000119208
0.84,0.07,0.000660911
0.86,0.07,0.001102937
0.88,0.07,0.003192335
0.9,0.07,0.003331619
0.92,0.07,0.00690861
0.94,0.07,0.014553976
0.96,0.07,0.02391026
0.98,0.07,0.0348101
1,0.07,0.05346461
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,0
0.76,0.08,0
0.78,0.08,8.26E-06
0.8,0.08,7.61E-05
0.82,0.08,9.31E-05
0.84,0.08,0.000244178
0.86,0.08,0.000833787
0.88,0.08,0.002499498
0.9,0.08,0.004073837
0.92,0.08,0.00745896
0.94,0.08,0.014665
0.96,0.08,0.02534971
0.98,0.08,0.04078794
1,0.08,0.06833921
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,0
0.76,0.09,0
0.78,0.09,9.21E-05
0.8,0.09,2.52E-05
0.82,0.09,4.99E-05
0.84,0.09,0.000543665
0.86,0.09,0.000709316
0.88,0.09,0.002298893
0.9,0.09,0.004229858
0.92,0.09,0.008822851
0.94,0.09,0.0176094
0.96,0.09,0.02856539
0.98,0.09,0.04561817
1,0.09,0.08459591
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0
0.74,0.1,0
0.76,0.1,1.67E-05
0.78,0.1,2.50E-05
0.8,0.1,5.83E-05
0.82,0.1,0.000123947
0.84,0.1,0.000475334
0.86,0.1,0.001432532
0.88,0.1,0.002987939
0.9,0.1,0.007356916
0.92,0.1,0.010807661
0.94,0.1,0.01738692
0.96,0.1,0.03070335
0.98,0.1,0.04728093
1,0.1,0.0752255
0.6,0.11,0
0.62,0.11,0
0.64,0.11,0
0.66,0.11,0
0.68,0.11,0
0.7,0.11,0
0.72,0.11,0
0.74,0.11,0
0.76,0.11,0
0.78,0.11,1.64E-05
0.8,0.11,8.30E-06
0.82,0.11,0.000106587
0.84,0.11,0.000501596
0.86,0.11,0.000984557
0.88,0.11,0.002369042
0.9,0.11,0.005843839
0.92,0.11,0.009050159
0.94,0.11,0.01686427
0.96,0.11,0.03312035
0.98,0.11,0.05253684
1,0.11,0.09064478
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,0
0.7,0.12,0
0.72,0.12,0
0.74,0.12,0
0.76,0.12,8.27E-06
0.78,0.12,0
0.8,0.12,5.75E-05
0.82,0.12,0.000325458
0.84,0.12,0.000634504
0.86,0.12,0.001331468
0.88,0.12,0.003191127
0.9,0.12,0.005204013
0.92,0.12,0.011538436
0.94,0.12,0.01982087
0.96,0.12,0.03622883
0.98,0.12,0.05365485
1,0.12,0.10096072
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,0
0.7,0.13,8.24E-06
0.72,0.13,0
0.74,0.13,8.05E-06
0.76,0.13,2.44E-05
0.78,0.13,0
0.8,0.13,4.04E-05
0.82,0.13,0.000146711
0.84,0.13,0.000473462
0.86,0.13,0.001240591
0.88,0.13,0.002997186
0.9,0.13,0.004625138
0.92,0.13,0.012278347
0.94,0.13,0.019439694
0.96,0.13,0.03622352
0.98,0.13,0.05921489
1,0.13,0.09518268
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,0
0.72,0.14,0
0.74,0.14,0
0.76,0.14,0
0.78,0.14,4.82E-05
0.8,0.14,5.62E-05
0.82,0.14,3.24E-05
0.84,0.14,0.000433571
0.86,0.14,0.001383967
0.88,0.14,0.001552661
0.9,0.14,0.006753368
0.92,0.14,0.01071978
0.94,0.14,0.02368872
0.96,0.14,0.04072357
0.98,0.14,0.06603758
1,0.14,0.114456
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0
0.74,0.15,0
0.76,0.15,0
0.78,0.15,3.98E-05
0.8,0.15,5.59E-05
0.82,0.15,0.000119495
0.84,0.15,0.000335287
0.86,0.15,0.001507999
0.88,0.15,0.00300627
0.9,0.15,0.005551722
0.92,0.15,0.013968277
0.94,0.15,0.02247795
0.96,0.15,0.0403439
0.98,0.15,0.07134087
1,0.15,0.11328651
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,0
0.72,0.16,0
0.74,0.16,0
0.76,0.16,0
0.78,0.16,7.09E-05
0.8,0.16,0.000197452
0.82,0.16,0.000167137
0.84,0.16,0.000548181
0.86,0.16,0.00126839
0.88,0.16,0.002651965
0.9,0.16,0.005936599
0.92,0.16,0.01323533
0.94,0.16,0.02199538
0.96,0.16,0.04150645
0.98,0.16,0.0741511
1,0.16,0.11064196
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,0
0.72,0.17,0
0.74,0.17,1.57E-05
0.76,0.17,0
0.78,0.17,0
0.8,0.17,7.10E-05
0.82,0.17,5.47E-05
0.84,0.17,0.000490811
0.86,0.17,0.001068428
0.88,0.17,0.00325299
0.9,0.17,0.00416918
0.92,0.17,0.012626518
0.94,0.17,0.02225546
0.96,0.17,0.04165482
0.98,0.17,0.07109705
1,0.17,0.1320786
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,0
0.74,0.18,0
0.76,0.18,6.19E-05
0.78,0.18,7.65E-06
0.8,0.18,1.54E-05
0.82,0.18,8.55E-05
0.84,0.18,0.000456858
0.86,0.18,0.000914123
0.88,0.18,0.003073352
0.9,0.18,0.007441423
0.92,0.18,0.013927789
0.94,0.18,0.02353545
0.96,0.18,0.04287853
0.98,0.18,0.08223731
1,0.18,0.12611031
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,0
0.72,0.19,0
0.74,0.19,0
0.76,0.19,3.86E-05
0.78,0.19,2.30E-05
0.8,0.19,1.55E-05
0.82,0.19,0.00017772
0.84,0.19,0.000416671
0.86,0.19,0.001645764
0.88,0.19,0.002300507
0.9,0.19,0.00684829
0.92,0.19,0.015745851
0.94,0.19,0.02371863
0.96,0.19,0.04721321
0.98,0.19,0.08183693
1,0.19,0.13295868
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,0
0.74,0.2,0
0.76,0.2,0
0.78,0.2,8.31E-05
0.8,0.2,7.68E-06
0.82,0.2,0.000107406
0.84,0.2,0.000573439
0.86,0.2,0.001643527
0.88,0.2,0.002410766
0.9,0.2,0.007493143
0.92,0.2,0.013001523
0.94,0.2,0.02855733
0.96,0.2,0.05038399
0.98,0.2,0.08987905
1,0.2,0.14151539
0.6,0,0.00E+00
0.62,0,0.00E+00
0.64,0,0.00E+00
0.66,0,0.00E+00
0.68,0,0.00E+00
0.7,0,0.00E+00
0.72,0,0.00E+00
0.74,0,0.00E+00
0.76,0,0.00E+00
0.78,0,0.00E+00
0.8,0,0.00E+00
0.82,0,0.00E+00
0.84,0,0.00E+00
0.86,0,0.00E+00
0.88,0,0.00E+00
0.9,0,0.00E+00
0.92,0,0.00E+00
0.94,0,0.00E+00
0.96,0,0.00E+00
0.98,0,0.00E+00
1,0,0.00E+00
